type,sub_type,text,listPrice,sqft,lot_sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,lastSoldPrice,soldOn,sold_to_list_ratio,price_per_sqft_sold,property_age_at_sale
multi_family,,Investors take a look!! Up for sale is two apartment complexes that have been updated and stay fully rented! Call today for more information.,329500.0,,,2.0,,,,,,1900.0,280000.0,2026-12-31,0.8498,,126
single_family,,Continuously improved home featuring 3 remodeled ensuite bedrooms. HVAC system installed. Kitchen remodel. 21x20 sun room. Acres of fencing.,825000.0,3880.0,1819937.0,,4.0,3.0,3.0,3.0,5.0,1986.0,775000.0,2026-05-29,0.9394,199.74,40
single_family,,"Located in the heart of Ogle County, within the highly sought-after Meridian School District, this 5-acre property offers the perfect balance of privacy and convenience. With a beautiful, well-maintained home (newer roof, windows & air conditioner), multiple outbuildings, and a flat fenced pasture surrounded by mature trees. It's the perfect setup for horses or a hobby farmette while providing all the comforts of country living. The home has a welcoming open layout with tons of natural light filtering into a vaulted knotty-pine family room complete with a wood-burning fireplace. The kitchen flows seamlessly from this space, featuring an oversized island, abundant cabinetry, and an open concept into the dining area. A sliding door off the dining room leads to one of the property's decks, creating an easy transition between indoor and outdoor living. Upstairs, a cozy loft provides flexible space for an office, playroom, or guest accommodations. The expansive master suite includes a large bathroom and closet, while two additional bedrooms share a full bathroom down the hall. A first-floor laundry and mudroom, with its own half bath and walkout to another deck, adds functionality and convenience. The property is just as impressive outside. A 24x92 barn provides versatile space for both shop and livestock use. The 24x36 front section, currently used for hay storage, features a spray-foam ceiling and could be converted into a workshop if desired. The back portion houses four stalls, a concrete-floored tack room, and a 12-foot lean-to that leads to a fenced pasture. Additional amenities include two paddocks with automatic waterers, an open 10x30 loafing shed for cover, as well as a 16x12 loafing shed in a separate paddock. For equestrian enthusiasts, the 150x190 sand arena is ideal for working or riding horses, whether your passion is Western or English! Beyond the sand arena is nearly 2 acres of pasture for grazing. This property combines the joy of country living with quick access to I-39/90 & 88 while also being a stone's throw away from Rockford. If you've been wanting to make that move to a country home with quick access to everything, then THIS 5-acre property truly is the best of both worlds.",474000.0,3000.0,217800.0,2.0,3.0,3.0,2.0,2.0,2.0,1988.0,460000.0,2026-05-04,0.9705,153.33,38
condos,condo,"Live Where the Action Is! Perched on the top floor of a boutique elevator building, this bright and airy condo puts you in the center of Chicago's most vibrant neighborhood. Enjoy modern finishes like granite counters, stainless appliances, and stylish hardwood floors throughout. Whether you're hosting dinner in the spacious dining area or heading out to the Farmer's Market across the street, this home fits your lifestyle perfectly. Commuting is a breeze with the Logan Square Blue Line right outside your door, offering quick access to both O'Hare and Downtown. Organized closets and in-unit laundry round out this perfect city pad.",299000.0,,,,2.0,1.0,1.0,1.0,,1910.0,315000.0,2026-05-04,1.0535,,116
single_family,,"Experience the pinnacle of luxury living in the stunning, custom built home with open floor plan, majestic 2-story entrance with grand turned staircase, elegant maple stairs, and exquisite arched doorways all highlighted by custom light fixtures, beautiful tile and hardwood floors and impressive 9 ft. ceilings adorned with detailed crown molding. The gourmet eat-in kitchen is a culinary dream featuring custom cabinets, a stunning stone backsplash, gorgeous granite counters, a spacious center island, not one but two pantries with convenient pull-outs and accent lighting that shines bright. The adjoining family room invites relaxation with its stylish fireplace mantle and marble surround, seamlessly flowing into the expansive deck and picturesque landscaped yard. Additional highlights include a private maim floor study, formal living and dining rooms, a new furnace, and a luxurious primary suite that boasts a fireplace, French doors, a jetted tub, huge tile shower, double sinks and an enormous walk-in closet. The practical mud room features built-in laundry bins, extra cabinet and closet space and a utility sink. The lower level awaits your personal touch, ready to finish with daylight windows. The 3-car heated garage boasts an extra-tall ceiling. Throughout the home, you'll discover ample storage and closet space and it even comes wired for audio. Plus, the lower level is primed for finishing with an egress window and plumbing for a bath. Nestled in the fantastic Fox Creek neighborhood, home to the Den golf course, this residence offers the ultimate lifestyle upgrade.",475000.0,4370.0,,2.0,4.0,3.0,2.0,2.0,3.0,2010.0,475000.0,2026-05-04,1.0,108.7,16
single_family,,"Custom built ONE OWNER all brick ranch style home complete with a partial finished basement as well as two separate garages on a roomy 80X150 lot! Not to mention, this home was constructed by the owners themselves who have had an undeniably reputable local masonry business for decades -- as solid as they come! Main floor offers a gracious front facing living room with a striking fireplace, spacious 13X12 eat-in kitchen, two comfortably sized bedrooms (hardwood flooring can be found under carpeting), and a full hall bath. The basement boasts a 16X19 family room with a unique vintage bar in addition to a large 8X19 laundry/mechanical room area. Outside, you will find an oversized front facing garage attached to the home via a partially covered patio area (patio extends to behind home) as well as an oversized detached garage with rear alley access in addition to adjacent off-street parking. Priced to sell, this sturdy residential dwelling has been well loved by the same owner for the past 7+ decades but readily awaits its next chapter!",89900.0,1186.0,,,2.0,1.0,1.0,1.0,2.0,1954.0,105000.0,2026-05-04,1.168,88.53,72
single_family,,"Beautifully reimagined home on an expansive 1.5 acre canvas. This remarkable 5BR/4.5BA sanctuary represents the pinnacle of thoughtful renovation, having undergone a comprehensive transformation in 2021. The architectural journey begins in a soaring 2-story entry foyer that immediately establishes the home's grandeur. Beyond, a breathtaking great room with dual-height ceilings & a stacked stone gas log fireplace creates an atmosphere of refined comfort. The gourmet kitchen stands as a culinary masterpiece, featuring lustrous quartz countertops, artisan tile backsplash, a walk-in pantry & a commanding island that beckons gatherings of family & friends. Thoughtful multigenerational design includes a main level bedroom & bathroom. The sumptuous primary retreat upstairs offers an extraordinary walk-in closet & spa-inspired bathroom complete with soaking tub, dual vanities & tiled shower. The finished walkout lower level expands entertaining possibilities with recreation spaces, a built-in wet bar & flexible guest quarters/home office. Outside, paradise awaits with a stunning inground pool (2023) featuring a sun shelf, complemented by composite decking, patio & hot tub - your own private resort. Every detail has been elevated-new windows, siding, shingles, modern insulation & designer finishes throughout announce that excellence lives here. Popular Germantown Hills school district! Schedule your private showing today & discover the extraordinary lifestyle that awaits!",679900.0,5346.0,65340.0,2.0,5.0,5.0,4.0,4.0,3.0,1995.0,685000.0,2026-05-04,1.0075,128.13,31
single_family,,"Looking for a good investment for Short Term Rentals (STR's) in The Galena Territory? No need to look further than [Redacted]! This nicely maintained, turnkey, furnished five bedroom four-and-1/2-bathroom home has averaged $70,[Redacted] five years (per owner's records available upon request). The home has a valid Jo Daviess County Guest Accommodation License (STR) and has earned a stellar reputation through guests, VRBO & Rosebud Rentals of Galena. Upon entering this special property, you will step into the quaint foyer of [Redacted] and immediately notice the wood floors throughout the main level (except the tiled half bath). From the foyer, you enter the welcoming great room which prominently displays: a stone gas log fireplace with a wood mantle; a wood clad ceiling; ample seating able to accommodate up to the licensed capacity of twelve guests; and access to a large outdoor screened porch and the deck. When entering the dining and kitchen areas, you will see featured: a large dining table which adjoins the kitchen; granite countertops; stainless steel appliances; a stainless-steel double bowl sink; oak cabinetry; and a breakfast bar. Off the kitchen you can access the two-car garage. And the sliding doors off the dining area lead to the deck - perfect for entertaining with outdoor seating - overlooking the spacious yard with a wooded backdrop (leading to 25+ acres of greenspace and a seasonal creek). Look forward to fun and games along with meals fresh off the outdoor BBQ grill! Ascend to the upper level and you'll find: the primary ensuite bedroom/bathroom with a double bowl vanity, whirlpool tub, a walk-in closet and a private owner's closet; two guest bedrooms; and a full guest bathroom that completes the upper level. From the kitchen, you can descend to the walkout lower-level featuring: a cozy family room; secondary ensuite bedroom/bathroom; guest bedroom; guest bathroom; and the laundry/mechanical area (washer, dryer, water softener and furnace). From the family room you can exit to the exposed aggregate patio to enjoy some R&R in the seven-person hot tub or spend time by the firepit area with your favorite beverage! Many improvements and upgrades over the last several years (see the list in the documents folder). As part of your stay at [Redacted], you and/or your guests can enjoy the fabulous ownership amenities The Galena Territory has to offer! Privileges at The Galena Territory Owners Club include indoor & outdoor pools; fitness center; and all sorts of courts (tennis, basketball, pickleball). Visit Lake Galena for boating, fishing, kayaking, canoeing and enjoy the new Lake Galena Marina & Pavilion. There are also miles of paved asphalt trails; 20 miles of hiking/mountain biking/horseback riding trails; Shenandoah Riding Center; and 24/7 Security. As a proud GTA owner, you'll also receive discounts at Eagle Ridge Resort & Spa properties in The Galena Territory. The sellers are offering a Choice Home Warranty (Choice plan - value $450). Schedule your showing now!",595000.0,2240.0,47916.0,2.0,5.0,5.0,4.0,4.0,2.0,1998.0,550000.0,2026-05-04,0.9244,245.54,28
single_family,,"If you're searching for the perfect starter home, looking to downsize, or love the charm of small-town living, this home is a must-see! This ranch, built in 2011, is located in the highly sought-after Pleasant Plains School District and just a quick 15-minute drive to Springfield, offering the perfect blend of peaceful living and everyday convenience. The home features numerous updates, including fresh paint, updated lighting and hardware, stainless steel appliances, a new roof (2025), and a new AC unit (2021). Step outside to enjoy the south-facing deck with newly installed deck boards, perfect for relaxing or entertaining. Inside, the inviting open floor plan. Natural sunlight fills the living room and flows into a spacious kitchen featuring abundant counter space, a breakfast bar, ample cabinetry, and room for a dining table. Hardwood floors run throughout the main living areas, while durable tile flooring adds practicality in the kitchen, bathrooms, and laundry room Outdoor living is easy with multiple spaces to enjoy, including a deck off the dining area, a second deck off the laundry room that leads to a patio and large fenced backyard, and a welcoming front porch. The split-bedroom floor plan includes two bedrooms with spacious closets, while the primary suite features a walk-in closet and a private bathroom.",218000.0,1289.0,,,3.0,2.0,2.0,2.0,2.0,2011.0,224000.0,2026-05-04,1.0275,173.78,15
single_family,,"Beautifully updated, impeccably maintained, and truly move-in ready, this spacious 3-bedroom, 2-bath home offers over 1772 square feet of living space PLUS the basement on a combined double lot-providing added privacy, usable space, and the benefit of a single HOA fee. Step inside to a light-filled interior featuring modern updates throughout, including fresh paint, new lighting, new doors, and updated flooring. The kitchen is both stylish and functional with gray cabinetry, stainless steel appliances, a large pantry, and plenty of workspace, flowing seamlessly into the family room where a wall of windows brings in abundant natural light and showcases the scenic surroundings. The dining area opens to a spacious deck-perfect for entertaining, relaxing, or enjoying everyday outdoor living. A main-level bedroom (14x12) sits adjacent to a full bath, offering ideal flexibility for guests, related living, or a private home office. Upstairs, you'll find two generously sized bedrooms, both updated with fresh finishes. The primary bedroom features dual closets, additional windows for natural light, and a private porch-creating a peaceful retreat. The full basement offers a clean, open layout with updated lighting and fresh paint, ready to be used as-is or finished to fit your needs. Additional highlights include a 3-car garage with service door access, a large shed for extra storage, new wall unit AC and water softener, and professionally landscaped grounds. The expansive yard provides endless possibilities for outdoor enjoyment. Located in the highly sought-after Candlewick Lake community, residents enjoy access to resort-style amenities including a private boatable ski lake, beach, swimming pool, golf course, recreation center, parks, and year-round community events. A rare combination of space, updates, and lifestyle-this is one you don't want to miss. It's a lifestyle you'll love coming home to.",264999.0,1772.0,,2.0,3.0,2.0,2.0,2.0,3.0,1989.0,255000.0,2026-05-04,0.9623,143.91,37
